;userId;jobId;rating
0;607800b0c5112c2802beb365;Directores de cine, de teatro y afines;207.0
1;607800b0c5112c2802beb365;Escritores, periodistas y lingüistas;228.0
2;607800b0c5112c2802beb366;Asistentes de dirección y administrativos;13.0
3;607800b0c5112c2802beb366;Directores generales y presidentes ejecutivos;16.0
4;607800b0c5112c2802beb366;Emprendedores;52.0
5;607800b0c5112c2802beb367;Empleados de logística y transporte de pasajeros y mercancías;274.0
6;607800b0c5112c2802beb368;Coordinadores;71.0
7;607800b0c5112c2802beb368;Profesionales de la publicidad y la comercialización;32.0
8;607800b0c5112c2802beb369;Especialistas en marketing digital;166.0
9;607800b0c5112c2802beb369;coordinadores;26.0
10;607800b0c5112c2802beb36b;Analistas de gestión y organización;4.0
11;607800b0c5112c2802beb36b;Directores generales y presidentes ejecutivos;38.0
12;607800b0c5112c2802beb36b;Emprendedores;66.0
13;607800b0c5112c2802beb36b;Organizadores de conferencias y eventos;20.0
14;607800b0c5112c2802beb36b;Project Managers;48.0
15;607800b0c5112c2802beb36d;Analistas y diseñadores de software;69.0
16;607800b0c5112c2802beb36d;científicos e ingenieros de Investigación y Desarrollo;24.0
17;607800b0c5112c2802beb36e;Emprendedores;327.0
18;607800b0c5112c2802beb36f;Directores de servicios de tecnologías de la información y las comunicaciones (TIC);48.0
19;607800b0c5112c2802beb36f;Directores generales y presidentes ejecutivos;218.0
20;607800b0c5112c2802beb36f;Emprendedores;292.0
21;607800b0c5112c2802beb36f;Managers;10.0
22;607800b0c5112c2802beb36f;Project Managers;12.0
23;607800b0c5112c2802beb36f;científicos e ingenieros de Investigación y Desarrollo;12.0
24;607800b0c5112c2802beb370;Directores de publicidad y relaciones públicas;9.0
25;607800b0c5112c2802beb370;Directores generales y presidentes ejecutivos;11.0
26;607800b0c5112c2802beb372;Escritores, periodistas y lingüistas;10.0
27;607800b0c5112c2802beb374;Empleados de centro de información y atención al cliente;40.0
28;607800b0c5112c2802beb374;Jefes de sección de tiendas y almacenes;70.0
29;607800b0c5112c2802beb375;Directores de departamentos de contabilidad;9.0
30;607800b0c5112c2802beb375;Directores de publicidad y relaciones públicas;79.0
31;607800b0c5112c2802beb376;Especialistas en marketing digital;56.0
32;607800b0c5112c2802beb376;Recepcionistas;9.0
33;607800b0c5112c2802beb377;Especialistas en marketing digital;26.0
34;607800b0c5112c2802beb377;Project Managers;38.0
35;607800b0c5112c2802beb378;Analistas y diseñadores de software;136.0
36;607800b0c5112c2802beb379;Directores de departamentos de contabilidad;11.0
37;607800b0c5112c2802beb379;Directores de publicidad y relaciones públicas;7.0
38;607800b0c5112c2802beb379;Escritores, periodistas y lingüistas;19.0
39;607800b0c5112c2802beb379;Organizadores de conferencias y eventos;20.0
40;607800b0c5112c2802beb379;Profesionales de la publicidad y la comercialización;15.0
41;607800b0c5112c2802beb379;Project Managers;14.0
42;607800b0c5112c2802beb37a;Escritores, periodistas y lingüistas;137.0
43;607800b0c5112c2802beb37d;Administradores de sistemas;8.0
44;607800b0c5112c2802beb37d;Técnicos en operaciones de sistemas informáticos;49.0
45;607800b0c5112c2802beb37e;Directores de publicidad y relaciones públicas;55.0
46;607800b0c5112c2802beb37e;Escritores, periodistas y lingüistas;16.0
47;607800b0c5112c2802beb37e;Responsables de comunicación;72.0
48;607800b0c5112c2802beb37f;Analistas digitales;23.0
49;607800b0c5112c2802beb37f;Analistas, programadores y diseñadores Web y multimedia;135.0
50;607800b0c5112c2802beb380;Analistas de gestión y organización;28.0
51;607800b0c5112c2802beb380;Directores de departamentos de contabilidad;24.0
52;607800b0c5112c2802beb380;Directores generales y presidentes ejecutivos;36.0
53;607800b0c5112c2802beb380;Emprendedores;18.0
54;607800b0c5112c2802beb381;Directores generales y presidentes ejecutivos;44.0
55;607800b0c5112c2802beb381;Emprendedores;21.0
56;607800b0c5112c2802beb381;Marketing managers;6.0
57;607800b0c5112c2802beb382;Directores de servicios de tecnologías de la información y las comunicaciones (TIC);31.0
58;607800b0c5112c2802beb382;Emprendedores;169.0
59;607800b0c5112c2802beb382;Responsables de producto;12.0
60;607804a088c498283227b611;Escritores, periodistas y lingüistas;137.0
61;607804a088c498283227b614;Administradores de sistemas;8.0
62;607804a088c498283227b614;Técnicos en operaciones de sistemas informáticos;49.0
63;607804a088c498283227b615;Directores de publicidad y relaciones públicas;55.0
64;607804a088c498283227b615;Escritores, periodistas y lingüistas;16.0
65;607804a088c498283227b615;Responsables de comunicación;72.0
66;607804a088c498283227b616;Analistas digitales;23.0
67;607804a088c498283227b616;Analistas, programadores y diseñadores Web y multimedia;135.0
68;607804a088c498283227b617;Analistas de gestión y organización;28.0
69;607804a088c498283227b617;Directores de departamentos de contabilidad;24.0
70;607804a088c498283227b617;Directores generales y presidentes ejecutivos;36.0
71;607804a088c498283227b617;Emprendedores;18.0
72;607804a088c498283227b618;Directores generales y presidentes ejecutivos;44.0
73;607804a088c498283227b618;Emprendedores;21.0
74;607804a088c498283227b618;Marketing managers;6.0
75;607804a088c498283227b619;Directores de servicios de tecnologías de la información y las comunicaciones (TIC);31.0
76;607804a088c498283227b619;Emprendedores;169.0
77;607804a088c498283227b619;Responsables de producto;12.0
78;607804a088c498283227b61a;Profesionales de la publicidad y la comercialización;21.0
79;607804a088c498283227b61c;Directores de producción y operaciones;24.0
80;607804a088c498283227b61c;Managers;231.0
81;607804a088c498283227b61e;Analistas;25.0
82;607804a088c498283227b61e;Analistas y diseñadores de software;10.0
83;607804a088c498283227b61e;Project Managers;71.0
84;607804a088c498283227b61f;Analistas de gestión y organización;63.0
85;607804a088c498283227b61f;Consultores de sistemas;23.0
86;607804a088c498283227b621;Directores de publicidad y relaciones públicas;163.0
87;607804a088c498283227b621;Emprendedores;223.0
88;607804a088c498283227b621;Profesores;68.0
